iter	Accuracy	MultiClass
0	0.4686971888	1.097128997
1	0.480982822	1.095794085
2	0.4832938863	1.094395137
3	0.4850334065	1.093010255
4	0.4865787012	1.091687351
5	0.4880724039	1.090349969
6	0.4889878262	1.089093711
7	0.4884095056	1.08787485
8	0.4881319826	1.086643357
9	0.488704293	1.085441529
10	0.4888750826	1.084248664
11	0.4878060142	1.083095988
12	0.4885730747	1.081936147
13	0.4870329837	1.080812463
14	0.4877753576	1.079722666
15	0.488722808	1.078591385
16	0.4879219446	1.077521696
17	0.4865735784	1.076459239
18	0.4888779062	1.075346304
19	0.4891086778	1.074310028
20	0.4902358726	1.073277709
21	0.4902172366	1.072355406
22	0.4898407251	1.071365589
23	0.4891374385	1.07047969
24	0.4883189475	1.069564768
25	0.4869436762	1.068642158
26	0.4869659426	1.067801948
27	0.4864344136	1.066955009
28	0.4864070647	1.066102156
29	0.4864224737	1.065326953
30	0.4864680552	1.0644328
31	0.4864246116	1.063608084
32	0.4867254093	1.062778507
33	0.4873339025	1.06193701
34	0.4875033206	1.061154205
35	0.4869533976	1.060375532
36	0.4877311475	1.059586315
37	0.4881892217	1.058759692
38	0.4887319243	1.057975523
39	0.4881679235	1.057236915
40	0.4889598319	1.056493223
41	0.4892695846	1.055726682
42	0.4892754336	1.054978664
43	0.4896032172	1.054240736
44	0.4899271284	1.053559389
45	0.4897283848	1.05289622
46	0.4893945102	1.052219538
47	0.4904634979	1.051555052
48	0.4903514803	1.050978357
49	0.4904969378	1.050341234
50	0.4907105256	1.049659279
51	0.491417846	1.048974413
52	0.4919464304	1.048307586
53	0.4916188081	1.047718039
54	0.4915552764	1.047101717
55	0.4915213121	1.046539754
56	0.4915233693	1.045978584
57	0.4918822936	1.045411706
58	0.4918522823	1.044821463
59	0.4916165089	1.044244628
60	0.491980314	1.043654892
61	0.4920423129	1.043080383
62	0.4915301863	1.0425637
63	0.4914529397	1.042063239
64	0.4919632915	1.041475545
65	0.4921625191	1.040925376
66	0.4921443268	1.040393434
67	0.4921649393	1.0398539
68	0.4922808294	1.039348818
69	0.4919632512	1.038902067
70	0.4924028507	1.038399641
71	0.4927728275	1.037904737
72	0.4927407994	1.037354612
73	0.4926224488	1.036862435
74	0.4933798282	1.036350924
75	0.4932820095	1.035883914
76	0.4939781161	1.035385091
77	0.4936501711	1.034898694
78	0.493833667	1.034411538
79	0.4939257578	1.033950181
80	0.4937447628	1.03351402
81	0.4943160244	1.033085815
82	0.4949435167	1.032599534
83	0.4947670799	1.032157124
84	0.4945238439	1.031717349
85	0.4947201268	1.031285084
86	0.4950385521	1.030892932
87	0.4951635585	1.030467005
88	0.4954690354	1.030053603
89	0.4957910911	1.029638175
90	0.4956835509	1.029290736
91	0.4954256724	1.028888332
92	0.4957349411	1.028483608
93	0.4955361169	1.028096558
94	0.4956327658	1.027684983
95	0.4959617999	1.027343232
96	0.496006736	1.026954602
97	0.4962506174	1.026552546
98	0.4963640065	1.02621908
99	0.4964085796	1.02589337
100	0.4970548288	1.025415116
101	0.4968795618	1.025062954
102	0.4969633834	1.024753457
103	0.4972377197	1.024340855
104	0.4972044411	1.024025786
105	0.4973385638	1.023680912
106	0.4974587296	1.023346676
107	0.4975139115	1.022973558
108	0.4976916391	1.022543908
109	0.4979027259	1.022158868
110	0.498613112	1.021767924
111	0.4983922635	1.02139474
112	0.4981393868	1.021130854
113	0.4980543954	1.020734412
114	0.4987291634	1.020412476
115	0.4987089542	1.020082049
116	0.4992025255	1.019707001
117	0.4996673764	1.019255834
118	0.4998388921	1.018945863
119	0.5001672808	1.018647024
120	0.5001049591	1.018241181
121	0.5002070537	1.017985429
122	0.5007735554	1.017539022
123	0.5007102657	1.017180351
124	0.501088552	1.016865417
125	0.5013202917	1.016556033
126	0.5013815646	1.016263131
127	0.5013662766	1.015968632
128	0.5017512187	1.015649707
129	0.5024367165	1.01536219
130	0.5023996865	1.015090515
131	0.5027978593	1.01475948
132	0.5026863257	1.014469892
133	0.5031506926	1.014165585
134	0.503022661	1.013938659
135	0.5033647644	1.013643464
136	0.503451087	1.013346711
137	0.50405119	1.012874504
138	0.5045475849	1.012520152
139	0.5049985597	1.01222242
140	0.5053428817	1.011998914
141	0.5056950696	1.011688186
142	0.5060054274	1.011406745
143	0.5059245908	1.011195419
144	0.505679822	1.010951523
145	0.5057448059	1.010744263
146	0.5061977169	1.010483969
147	0.5058204793	1.010257563
148	0.5062382966	1.009969922
149	0.5068194409	1.009633276
150	0.5071196336	1.009330811
151	0.5069843815	1.009154783
152	0.5070841364	1.00887534
153	0.5068475562	1.008626235
154	0.5068212964	1.008394647
155	0.5066609543	1.008204916
156	0.5065117454	1.008028299
157	0.5064583787	1.007843839
158	0.5068563902	1.007552929
159	0.5071268137	1.007329729
160	0.5072942955	1.007094645
161	0.5076490247	1.006808738
162	0.5078715271	1.006557914
163	0.5078624915	1.00634823
164	0.5079217071	1.006099127
165	0.5078866134	1.005926488
166	0.5087174477	1.005585678
167	0.509129658	1.005300408
168	0.5092119871	1.005041796
169	0.5093654314	1.004844801
170	0.5098821162	1.004541283
171	0.5102311174	1.004361338
172	0.5102512459	1.004150647
173	0.5103048546	1.003962947
174	0.5103634652	1.00372724
175	0.5107809597	1.003387132
176	0.5108389249	1.003209404
177	0.5112665442	1.002981709
178	0.5114483863	1.002704085
179	0.5117750808	1.002490298
180	0.5116798839	1.002336468
181	0.5116568108	1.002168676
182	0.5117594298	1.001917096
183	0.5120248514	1.001676145
184	0.512399467	1.001354308
185	0.5132651934	1.001029449
186	0.5131173963	1.000869053
187	0.5133754765	1.000717691
188	0.5136280707	1.000538952
189	0.5136359366	1.000317854
190	0.5136531607	1.000153127
191	0.5137445255	0.9999511233
192	0.5140099875	0.9997113611
193	0.5139752971	0.9995502904
194	0.5139251171	0.9993213617
195	0.5149301293	0.999008743
196	0.5151034601	0.9987014219
197	0.515234396	0.9985639789
198	0.5153661388	0.998370144
199	0.5156606035	0.9981929292
200	0.5157140105	0.9980208806
201	0.5155330156	0.9978752975
202	0.515737608	0.9977231578
203	0.5159741479	0.9974379334
204	0.5164083422	0.9971541534
205	0.5163074175	0.9969726756
206	0.5164932126	0.9967568396
207	0.5172678969	0.9964912984
208	0.5173664821	0.9962703591
209	0.5175506637	0.9960702437
210	0.517468375	0.9959323004
211	0.5174317887	0.9957740486
212	0.5174165814	0.9956375381
213	0.5179043845	0.9953699502
214	0.5178047505	0.9952211992
215	0.5181591973	0.99503182
216	0.5181110342	0.9948671084
217	0.5181243456	0.9947160241
218	0.5183343837	0.9944798577
219	0.5187761211	0.9942132297
220	0.51925985	0.9938802225
