iter	Passed	Remaining
0	133	40027
1	227	33958
2	316	31357
3	410	30353
4	500	29554
5	592	29021
6	683	28606
7	778	28412
8	874	28270
9	971	28169
10	1073	28200
11	1181	28367
12	1289	28469
13	1393	28471
14	1502	28556
15	1612	28627
16	1715	28556
17	1821	28533
18	1949	28826
19	2083	29171
20	2222	29531
21	2345	29634
22	2473	29788
23	2606	29976
24	2738	30121
25	2848	30020
26	2987	30208
27	3126	30374
28	3370	31493
29	3476	31289
30	3574	31014
31	3701	30997
32	3807	30804
33	3923	30696
34	4033	30535
35	4142	30381
36	4276	30400
37	4394	30298
38	4523	30272
39	4647	30206
40	4738	29935
41	4855	29827
42	4979	29761
43	5098	29666
44	5223	29598
45	5308	29311
46	5401	29073
47	5500	28877
48	5595	28662
49	5704	28524
50	5814	28387
51	5927	28269
52	6048	28188
53	6160	28065
54	6274	27948
55	6381	27806
56	6491	27675
57	6604	27554
58	6714	27427
59	6824	27298
60	6932	27161
61	7040	27024
62	7149	26896
63	7263	26785
64	7376	26668
65	7488	26550
66	7606	26452
67	7712	26313
68	7821	26184
69	7929	26053
70	8053	25974
71	8176	25891
72	8298	25805
73	8421	25719
74	8541	25625
75	8658	25519
76	8769	25397
77	8879	25272
78	8988	25144
79	9105	25039
80	9211	24904
81	9323	24786
82	9436	24672
83	9549	24556
84	9663	24442
85	9775	24324
86	9886	24205
87	9997	24084
88	10105	23958
89	10216	23838
90	10332	23731
91	10444	23612
92	10557	23497
93	10667	23376
94	10779	23261
95	10895	23152
96	11006	23034
97	11117	22915
98	11229	22799
99	11341	22682
100	11457	22574
101	11571	22462
102	11684	22348
103	11801	22240
104	11914	22126
105	12028	22014
106	12138	21895
107	12253	21783
108	12369	21675
109	12480	21557
110	12593	21443
111	12703	21322
112	12812	21203
113	12923	21086
114	13034	20968
115	13146	20853
116	13260	20740
117	13380	20638
118	13499	20533
119	13606	20409
120	13725	20305
121	13842	20196
122	13954	20080
123	14067	19966
124	14180	19853
125	14292	19737
126	14406	19624
127	14518	19509
128	14629	19392
129	14744	19281
130	14853	19161
131	14966	19048
132	15077	18931
133	15190	18817
134	15303	18704
135	15425	18601
136	15536	18485
137	15654	18377
138	15767	18263
139	15881	18150
140	15996	18038
141	16112	17927
142	16224	17812
143	16339	17700
144	16447	17581
145	16556	17463
146	16665	17345
147	16779	17233
148	16896	17123
149	17011	17011
150	17128	16901
151	17236	16782
152	17353	16673
153	17462	16555
154	17576	16442
155	17688	16328
156	17797	16210
157	17906	16093
158	18021	15981
159	18124	15859
160	18235	15743
161	18348	15629
162	18440	15499
163	18546	15380
164	18656	15264
165	18770	15152
166	18885	15040
167	19000	14929
168	19108	14811
169	19216	14694
170	19336	14587
171	19443	14469
172	19556	14356
173	19667	14241
174	19781	14129
175	19902	14022
176	20012	13907
177	20119	13789
178	20248	13687
179	20363	13575
180	20495	13475
181	20618	13367
182	20751	13267
183	20873	13159
184	21010	13060
185	21144	12959
186	21261	12847
187	21395	12746
188	21519	12638
189	21641	12529
190	21748	12411
191	21864	12298
192	21972	12181
193	22086	12068
194	22200	11954
195	22321	11844
196	22441	11733
197	22553	11618
198	22666	11503
199	22776	11388
200	22888	11273
201	23003	11159
202	23120	11047
203	23239	10936
204	23353	10822
205	23466	10708
206	23582	10594
207	23704	10484
208	23821	10371
209	23934	10257
210	24041	10140
211	24153	10026
212	24266	9911
213	24390	9801
214	24503	9687
215	24627	9577
216	24750	9466
217	24870	9355
218	25000	9246
219	25132	9138
220	25253	9027
221	25370	8914
222	25485	8799
223	25596	8684
224	25709	8569
225	25827	8456
226	25937	8341
227	26058	8228
228	26177	8116
229	26297	8003
230	26408	7888
231	26519	7772
232	26630	7657
233	26747	7544
234	26860	7429
235	26973	7314
236	27089	7200
237	27197	7085
238	27310	6970
239	27426	6856
240	27541	6742
241	27656	6628
242	27777	6515
243	27899	6403
244	28016	6289
245	28130	6174
246	28251	6062
247	28366	5947
248	28481	5833
249	28591	5718
250	28711	5605
251	28826	5490
252	28932	5374
253	29048	5260
254	29162	5146
255	29278	5032
256	29387	4916
257	29503	4802
258	29617	4688
259	29728	4573
260	29835	4458
261	29947	4343
262	30061	4229
263	30180	4115
264	30300	4001
265	30411	3887
266	30529	3773
267	30643	3658
268	30765	3545
269	30878	3430
270	30988	3316
271	31103	3201
272	31216	3087
273	31330	2973
274	31447	2858
275	31560	2744
276	31672	2629
277	31789	2515
278	31903	2401
279	32021	2287
280	32130	2172
281	32244	2058
282	32358	1943
283	32473	1829
284	32587	1715
285	32707	1601
286	32814	1486
287	32925	1371
288	33033	1257
289	33148	1143
290	33260	1028
291	33379	914
292	33491	800
293	33599	685
294	33711	571
295	33821	457
296	33933	342
297	34050	228
298	34158	114
299	34266	0
